,key,avg,sum,num,name,source
247,Context.StorageManager.Query.Reader.copy_fixed_data_tiles,0.0109871,0.0329612,3,X_batch,tiledbsoma
328,Context.StorageManager.Query.Reader.copy_fixed_data_tiles,0.0060403,0.0181209,3,X_batch,tiledbsoma
193,Context.StorageManager.Query.Reader.copy_fixed_data_tiles,0.0130798,0.0392393,3,X_batch,tiledbsoma
31,Context.StorageManager.Query.Reader.copy_fixed_data_tiles,0.00816628,0.0244988,3,X_batch,tiledbsoma
220,Context.StorageManager.Query.Reader.copy_fixed_data_tiles,0.00894176,0.0268253,3,X_batch,tiledbsoma
85,Context.StorageManager.Query.Reader.copy_fixed_data_tiles,0.0127431,0.0382294,3,X_batch,tiledbsoma
301,Context.StorageManager.Query.Reader.copy_fixed_data_tiles,0.0107206,0.0321617,3,X_batch,tiledbsoma
246,Context.StorageManager.Query.Reader.create_result_tiles,0.00110052,0.00110052,1,X_batch,tiledbsoma
300,Context.StorageManager.Query.Reader.create_result_tiles,0.000939407,0.000939407,1,X_batch,tiledbsoma
381,Context.StorageManager.Query.Reader.create_result_tiles,0.000895085,0.000895085,1,X_batch,tiledbsoma
111,Context.StorageManager.Query.Reader.create_result_tiles,0.000873921,0.000873921,1,X_batch,tiledbsoma
219,Context.StorageManager.Query.Reader.create_result_tiles,0.000879425,0.000879425,1,X_batch,tiledbsoma
327,Context.StorageManager.Query.Reader.create_result_tiles,0.000591412,0.000591412,1,X_batch,tiledbsoma
138,Context.StorageManager.Query.Reader.create_result_tiles,0.000529542,0.000529542,1,X_batch,tiledbsoma
273,Context.StorageManager.Query.Reader.create_result_tiles,0.00052675,0.00052675,1,X_batch,tiledbsoma
354,Context.StorageManager.Query.Reader.create_result_tiles,0.0010291,0.0010291,1,X_batch,tiledbsoma
165,Context.StorageManager.Query.Reader.create_result_tiles,0.000400689,0.000400689,1,X_batch,tiledbsoma
84,Context.StorageManager.Query.Reader.create_result_tiles,0.00113353,0.00113353,1,X_batch,tiledbsoma
192,Context.StorageManager.Query.Reader.create_result_tiles,0.00110902,0.00110902,1,X_batch,tiledbsoma
30,Context.StorageManager.Query.Reader.create_result_tiles,0.000687995,0.000687995,1,X_batch,tiledbsoma
57,Context.StorageManager.Query.Reader.create_result_tiles,0.00199665,0.00199665,1,X_batch,tiledbsoma
380,Context.StorageManager.Query.Reader.dedup_fragments_with_timestamps,8.803e-06,8.803e-06,1,X_batch,tiledbsoma
29,Context.StorageManager.Query.Reader.dedup_fragments_with_timestamps,5.617e-06,5.617e-06,1,X_batch,tiledbsoma
218,Context.StorageManager.Query.Reader.dedup_fragments_with_timestamps,9.954e-06,9.954e-06,1,X_batch,tiledbsoma
326,Context.StorageManager.Query.Reader.dedup_fragments_with_timestamps,9.327e-06,9.327e-06,1,X_batch,tiledbsoma
83,Context.StorageManager.Query.Reader.dedup_fragments_with_timestamps,9.116e-06,9.116e-06,1,X_batch,tiledbsoma
191,Context.StorageManager.Query.Reader.dedup_fragments_with_timestamps,6.849e-06,6.849e-06,1,X_batch,tiledbsoma
299,Context.StorageManager.Query.Reader.dedup_fragments_with_timestamps,9.498e-06,9.498e-06,1,X_batch,tiledbsoma
353,Context.StorageManager.Query.Reader.dedup_fragments_with_timestamps,7.283e-06,7.283e-06,1,X_batch,tiledbsoma
164,Context.StorageManager.Query.Reader.dedup_fragments_with_timestamps,7.246e-06,7.246e-06,1,X_batch,tiledbsoma
245,Context.StorageManager.Query.Reader.dedup_fragments_with_timestamps,8.633e-06,8.633e-06,1,X_batch,tiledbsoma
110,Context.StorageManager.Query.Reader.dedup_fragments_with_timestamps,7.12e-06,7.12e-06,1,X_batch,tiledbsoma
56,Context.StorageManager.Query.Reader.dedup_fragments_with_timestamps,6.899e-06,6.899e-06,1,X_batch,tiledbsoma
137,Context.StorageManager.Query.Reader.dedup_fragments_with_timestamps,6.789e-06,6.789e-06,1,X_batch,tiledbsoma
272,Context.StorageManager.Query.Reader.dedup_fragments_with_timestamps,7.019e-06,7.019e-06,1,X_batch,tiledbsoma
109,Context.StorageManager.Query.Reader.dedup_tiles_with_timestamps,0.00027965,0.00027965,1,X_batch,tiledbsoma
190,Context.StorageManager.Query.Reader.dedup_tiles_with_timestamps,0.000249242,0.000249242,1,X_batch,tiledbsoma
55,Context.StorageManager.Query.Reader.dedup_tiles_with_timestamps,0.000299817,0.000299817,1,X_batch,tiledbsoma
217,Context.StorageManager.Query.Reader.dedup_tiles_with_timestamps,0.000334003,0.000334003,1,X_batch,tiledbsoma
136,Context.StorageManager.Query.Reader.dedup_tiles_with_timestamps,0.000282788,0.000282788,1,X_batch,tiledbsoma
163,Context.StorageManager.Query.Reader.dedup_tiles_with_timestamps,0.000286658,0.000286658,1,X_batch,tiledbsoma
298,Context.StorageManager.Query.Reader.dedup_tiles_with_timestamps,0.000315947,0.000315947,1,X_batch,tiledbsoma
352,Context.StorageManager.Query.Reader.dedup_tiles_with_timestamps,0.000284618,0.000284618,1,X_batch,tiledbsoma
28,Context.StorageManager.Query.Reader.dedup_tiles_with_timestamps,0.000247757,0.000247757,1,X_batch,tiledbsoma
379,Context.StorageManager.Query.Reader.dedup_tiles_with_timestamps,0.000287947,0.000287947,1,X_batch,tiledbsoma
244,Context.StorageManager.Query.Reader.dedup_tiles_with_timestamps,0.000315383,0.000315383,1,X_batch,tiledbsoma
325,Context.StorageManager.Query.Reader.dedup_tiles_with_timestamps,0.000310765,0.000310765,1,X_batch,tiledbsoma
